Parent	Daughters
ansu1238	amba1265
ansu1238	ansu1237
ansu1238	mara1397
ansu1238	wand1267
ansu1238	woii1237
anus1238	anus1237
anus1238	pode1237
anyi1246	anyi1244
anyi1246	anyi1245
aoic1235	aona1235
aoic1235	long1375
aoic1235	loth1237
aoic1235	maku1273
aoic1235	para1302
aoic1235	sang1321
aoic1235	yimc1240
apac1239	jica1244
apac1239	kiow1264
apac1239	lipa1241
apac1239	mesc1238
apac1239	nava1243
apac1239	west2615
apam1237	caja1239
apam1237	chiq1249
apam1237	hual1241
apam1237	pana1306
aput1239	puna1267
aput1239	puna1268
aput1239	puna1278
aput1239	sian1255
arab1266	arab1267
arab1266	wang1290
arab1393	baha1259
arab1393	dhof1235
arab1393	gulf1241
arab1393	hadr1236
arab1393	hija1235
arab1393	jude1267
arab1393	najd1235
arab1393	oman1239
arab1393	sana1295
arab1393	shih1239
arab1393	taiz1242
arab1394	alge1239
arab1394	alge1240
arab1394	anci1245
arab1394	anda1287
arab1394	baha1259
arab1394	chad1249
arab1394	cypr1248
arab1394	dhof1235
arab1394	east2690
arab1394	egyp1253
arab1394	gulf1241
arab1394	hadr1236
arab1394	hass1238
arab1394	hija1235
arab1394	jude1263
arab1394	jude1264
arab1394	jude1265
arab1394	jude1266
arab1394	jude1267
arab1394	khor1274
arab1394	liby1240
arab1394	malt1254
arab1394	meso1252
arab1394	moro1292
arab1394	najd1235
arab1394	nort3139
arab1394	nort3142
arab1394	nubi1253
arab1394	oman1239
arab1394	said1239
arab1394	sana1295
arab1394	shih1239
arab1394	sout3123
arab1394	stan1318
arab1394	suda1236
arab1394	suda1237
arab1394	taiz1242
arab1394	taji1248
arab1394	tuni1259
arab1394	uzbe1248
arab1395	alge1239
arab1395	alge1240
arab1395	anda1287
arab1395	baha1259
arab1395	chad1249
arab1395	cypr1248
arab1395	dhof1235
arab1395	east2690
arab1395	egyp1253
arab1395	gulf1241
arab1395	hadr1236
arab1395	hass1238
arab1395	hija1235
arab1395	jude1263
arab1395	jude1264
arab1395	jude1265
arab1395	jude1266
arab1395	jude1267
arab1395	khor1274
arab1395	liby1240
arab1395	malt1254
arab1395	meso1252
arab1395	moro1292
arab1395	najd1235
arab1395	nort3139
arab1395	nort3142
arab1395	nubi1253
arab1395	oman1239
arab1395	said1239
arab1395	sana1295
arab1395	shih1239
arab1395	sout3123
arab1395	stan1318
arab1395	suda1236
arab1395	suda1237
arab1395	taiz1242
arab1395	taji1248
arab1395	tuni1259
arab1395	uzbe1248
arab1396	ando1255
arab1396	arab1268
arab1397	earl1245
arab1397	jord1239
arab1397	pidg1248
arab1397	pidg1252
arab1397	roma1333
arab1397	turk1244
arab1398	egyp1238
arab1398	iraq1246
arab1398	jord1238
arab1398	kuwa1252
arab1398	liby1235
arab1398	saud1238
arab1398	yeme1237
araf1243	anda1283
araf1243	nanu1240
araf1243	tape1242
arak1255	marm1234
arak1255	rakh1245
aram1259	assy1241
aram1259	barz1241
aram1259	boht1238
aram1259	chal1275
aram1259	clas1252
aram1259	clas1253
aram1259	hert1241
aram1259	hula1244
aram1259	jewi1240
aram1259	koys1242
aram1259	lish1245
aram1259	lish1246
aram1259	lish1247
aram1259	mlah1239
aram1259	nucl1706
aram1259	olda1245
aram1259	pale1261
aram1259	sama1314
aram1259	sena1268
aram1259	turo1239
aram1259	west2763
aran1263	alya1239
aran1263	ande1247
aran1263	anma1239
aran1263	east2379
aran1263	west2441
aran1266	adny1235
aran1266	alya1239
aran1266	ande1247
aran1266	anma1239
aran1266	bang1339
aran1266	east2379
aran1266	guya1249
aran1266	kaur1267
aran1266	kayt1238
aran1266	lowe1436
aran1266	naru1238
aran1266	nauo1235
aran1266	ngad1257
aran1266	nugu1241
aran1266	west2441
aran1266	wira1265
aran1267	alya1239
aran1267	ande1247
aran1267	anma1239
aran1267	east2379
aran1267	kayt1238
aran1267	lowe1436
aran1267	west2441
arao1247	arao1248
arao1247	toro1255
arap1273	arap1274
arap1273	gros1243
arap1273	nawa1259
arap1279	abua1245
arap1279	buki1249
arap1279	bumb1241
arap1279	mufi1238
arap1280	arap1274
arap1280	gros1243
arau1255	huil1244
arau1255	mapu1245
araw1269	aigh1235
araw1269	aikl1237
araw1269	akol1237
araw1269	apal1255
araw1269	avau1237
araw1269	bebe1252
araw1269	gimi1242
araw1269	karo1298
araw1269	kaul1240
araw1269	lesi1239
araw1269	mang1403
araw1269	miuu1237
araw1269	seng1281
araw1269	solo1258
araw1281	acha1250
araw1281	ajyi1238
araw1281	anau1243
araw1281	apol1242
araw1281	apur1254
araw1281	arai1239
araw1281	araw1276
araw1281	arua1264
araw1281	asha1243
araw1281	ashe1272
araw1281	ashe1273
araw1281	ator1244
araw1281	bani1254
araw1281	bani1255
araw1281	bare1276
araw1281	baur1253
araw1281	cabi1241
araw1281	caqu1242
araw1281	cari1280
araw1281	cham1318
araw1281	curr1243
araw1281	enaw1238
araw1281	gari1256
araw1281	guar1293
araw1281	guar1294
araw1281	guin1258
araw1281	igna1246
araw1281	inap1243
araw1281	isla1278
araw1281	joaq1235
araw1281	juma1250
araw1281	kais1242
araw1281	kust1238
araw1281	mach1267
araw1281	mach1268
araw1281	magi1242
araw1281	maip1246
araw1281	mana1299
araw1281	mand1448
araw1281	mapi1252
araw1281	mara1408
araw1281	mara1409
araw1281	mash1270
araw1281	mawa1268
araw1281	mehi1240
araw1281	mori1273
araw1281	nant1250
araw1281	noma1263
araw1281	paca1247
araw1281	paic1240
araw1281	pali1279
araw1281	para1316
araw1281	pare1272
araw1281	pass1250
araw1281	paun1241
araw1281	piap1246
araw1281	pich1237
araw1281	resi1247
araw1281	sara1331
araw1281	tain1254
araw1281	tari1256
araw1281	tere1279
araw1281	trin1274
araw1281	uain1239
araw1281	ucay1237
araw1281	uiri1238
araw1281	wapi1253
araw1281	ware1255
araw1281	waur1244
araw1281	wayu1243
araw1281	xiri1243
araw1281	yaba1249
